trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size,level_order,position_size
3,short,2025-01-08 07:33:00,2025-01-08 16:27:00,74.72,73.4433,73.4433,,take_profit,79.7938,resistance,0,3,62.5
4,short,2025-01-08 11:05:00,2025-01-08 16:27:00,74.2767,73.4433,73.4433,,take_profit,52.0875,resistance,0,2,62.5
1,short,2025-01-07 07:08:00,2025-01-08 16:28:00,73.415,73.415,73.415,,take_profit,-0.0,resistance,0,2,62.5
7,short,2025-01-22 09:10:00,2025-01-23 16:23:00,76.205,74.72,74.72,,take_profit,94.0365,resistance,0,2,63.32425812499999
8,short,2025-01-23 16:23:00,2025-01-27 00:40:00,74.72,73.92,73.92,,take_profit,25.5648,resistance,0,1,31.955993124999996
5,short,2025-01-08 16:22:00,2025-01-27 17:02:00,73.4433,72.6433,72.6433,,take_profit,25.0,resistance,0,1,31.25
6,short,2025-01-09 07:03:00,2025-01-27 17:02:00,73.4433,72.6433,72.6433,,take_profit,25.3297,resistance,0,1,31.662129062499996
9,long,2025-01-28 16:44:00,2025-01-28 18:59:00,73.0683,73.8683,73.8683,,take_profit,25.7545,support,0,1,32.1931634375
11,long,2025-01-29 18:01:00,2025-01-29 23:09:00,72.56,73.0683,73.0683,,take_profit,32.8094,support,0,2,64.5472925
12,long,2025-01-30 08:28:00,2025-01-30 20:42:00,72.56,73.7275,73.7275,,take_profit,75.5984,support,0,3,64.75235125
13,long,2025-01-30 14:33:00,2025-01-30 20:42:00,73.0683,73.7275,73.7275,,take_profit,42.6847,support,0,2,64.75235125
10,long,2025-01-29 09:21:00,2025-02-02 23:00:00,73.0683,73.8683,73.8683,,take_profit,25.8189,support,0,1,32.27364625
2,short,2025-01-07 16:21:00,2025-02-04 14:03:00,74.43,70.8625,70.8625,,take_profit,222.9688,resistance,0,3,62.5
