trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size,level_order,position_size
2,long,2024-10-01 08:06:00,2024-10-01 10:17:00,67.17,67.69,67.69,,take_profit,32.5,support,0,2,62.5
1,long,2024-10-01 07:13:00,2024-10-01 13:34:00,67.69,68.49,68.49,,take_profit,25.0,support,0,1,31.25
4,short,2024-10-01 15:39:00,2024-10-01 15:51:00,71.325,70.725,70.725,,take_profit,37.7156,resistance,0,2,62.859375
3,short,2024-10-01 15:00:00,2024-10-01 17:33:00,70.725,70.725,70.725,,take_profit,-0.0,resistance,0,1,31.4296875
5,short,2024-10-01 17:05:00,2024-10-01 17:33:00,71.75,70.725,70.725,,take_profit,64.6725,resistance,0,3,63.0950975
6,short,2024-10-02 07:06:00,2024-10-02 08:05:00,71.325,71.325,71.325,,take_profit,-0.0,resistance,0,2,63.499300625000004
7,short,2024-10-02 07:31:00,2024-10-02 15:05:00,71.75,70.725,70.725,,take_profit,65.0868,resistance,0,3,63.499300625000004
8,short,2024-10-02 15:04:00,2024-10-02 16:00:00,70.725,69.925,69.925,,take_profit,25.3997,resistance,0,1,31.749650312500002
10,short,2024-10-03 09:40:00,2024-10-03 11:27:00,71.75,71.325,71.325,,take_profit,27.2276,resistance,0,2,64.06484124999999
12,short,2024-10-08 14:05:00,2024-10-09 14:20:00,74.02,71.75,71.75,,take_profit,145.8135,resistance,0,3,64.23501375
13,short,2024-10-09 07:15:00,2024-10-09 14:20:00,74.02,71.75,71.75,,take_profit,145.8135,resistance,0,3,64.23501375
14,short,2024-10-09 13:13:00,2024-10-09 14:20:00,72.425,71.75,71.75,,take_profit,43.3586,resistance,0,2,64.23501375
16,short,2024-10-10 09:05:00,2024-10-14 22:00:00,74.1,71.75,71.75,,take_profit,155.8724,resistance,0,3,66.32867375
9,short,2024-10-03 07:10:00,2024-10-15 05:06:00,71.325,71.325,71.325,,take_profit,-0.0,resistance,0,1,32.03242062499999
11,short,2024-10-03 14:13:00,2024-10-15 05:06:00,72.425,71.325,71.325,,take_profit,70.6585,resistance,0,3,64.23501375
15,short,2024-10-09 14:20:00,2024-10-15 05:16:00,71.75,70.95,70.95,,take_profit,26.5315,resistance,0,1,33.164336875
17,long,2024-10-16 15:22:00,2024-10-16 16:01:00,69.69,70.49,70.49,,take_profit,27.1641,support,0,1,33.955156875
18,long,2024-10-17 17:06:00,2024-10-17 18:12:00,69.6775,70.4775,70.4775,,take_profit,27.232,support,0,1,34.0400446875
19,long,2024-10-22 07:02:00,2024-10-22 13:55:00,69.692,71.59,71.59,,take_profit,129.539,support,0,2,68.250289375
21,long,2024-10-23 11:20:00,2024-10-23 13:09:00,70.185,70.985,70.985,,take_profit,27.624,support,0,1,34.5299540625
22,long,2024-10-24 14:48:00,2024-10-25 12:44:00,70.255,71.055,71.055,,take_profit,27.693,support,0,1,34.6162790625
20,long,2024-10-22 13:55:00,2024-11-04 11:16:00,71.59,71.59,71.59,,take_profit,0.0,support,0,1,34.5299540625
