trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size,level_order
2,short,2025-07-01 12:57:00,2025-07-01 13:08:00,65.925,65.6025,65.6025,,take_profit,0.3225,resistance,0,2
4,short,2025-07-02 09:27:00,2025-07-02 14:06:00,65.925,65.6025,65.6025,,take_profit,0.3225,resistance,0,2
5,short,2025-07-09 08:39:00,2025-07-09 13:13:00,68.91,67.985,67.985,,take_profit,0.925,resistance,0,2
8,long,2025-07-10 11:35:00,2025-07-10 11:36:00,67.8467,68.6467,68.6467,,take_profit,0.8,support,0,1
7,short,2025-07-10 08:33:00,2025-07-10 13:14:00,68.0533,67.2533,67.2533,,take_profit,0.8,resistance,0,1
6,short,2025-07-09 13:12:00,2025-07-10 13:15:00,67.985,67.185,67.185,,take_profit,0.8,resistance,0,1
9,long,2025-07-10 13:36:00,2025-07-11 13:44:00,66.774,67.8467,67.8467,,take_profit,1.0727,support,0,2
11,short,2025-07-15 09:23:00,2025-07-16 09:09:00,66.9633,66.1633,66.1633,,take_profit,0.8,resistance,0,1
13,long,2025-07-16 09:03:00,2025-07-16 18:03:00,66.39,66.758,66.758,,take_profit,0.368,support,0,2
14,long,2025-07-17 07:38:00,2025-07-17 10:10:00,66.39,66.758,66.758,,take_profit,0.368,support,0,2
12,long,2025-07-16 07:30:00,2025-07-17 18:28:00,66.758,67.558,67.558,,take_profit,0.8,support,0,1
15,long,2025-07-17 08:47:00,2025-07-17 18:28:00,66.758,67.558,67.558,,take_profit,0.8,support,0,1
16,short,2025-07-17 12:04:00,2025-07-18 01:49:00,67.004,66.204,66.204,,take_profit,0.8,resistance,0,1
1,short,2025-07-01 10:41:00,2025-07-23 10:43:00,65.6025,64.8025,64.8025,,take_profit,0.8,resistance,0,1
3,short,2025-07-02 07:52:00,2025-07-23 10:43:00,65.6025,64.8025,64.8025,,take_profit,0.8,resistance,0,1
17,long,2025-07-22 07:58:00,2025-07-24 06:36:00,65.245,66.075,66.075,,take_profit,0.83,support,0,2
18,long,2025-07-23 08:06:00,2025-07-24 06:36:00,65.205,66.075,66.075,,take_profit,0.87,support,0,2
19,long,2025-07-24 08:40:00,2025-07-28 13:05:00,66.075,66.875,66.875,,take_profit,0.8,support,0,1
10,long,2025-07-15 08:36:00,2025-07-29 16:05:00,66.6233,67.895,67.895,,take_profit,1.2717,support,0,2
21,short,2025-07-29 17:38:00,2025-08-01 14:00:00,68.09,68.09,68.09,,take_profit,-0.0,resistance,0,2
20,short,2025-07-29 14:22:00,2025-08-01 14:40:00,67.615,67.615,67.615,,take_profit,-0.0,resistance,0,1
22,short,2025-07-29 17:45:00,2025-08-01 14:40:00,68.9067,67.615,67.615,,take_profit,1.2917,resistance,0,3
23,short,2025-07-30 08:44:00,2025-08-01 14:40:00,68.9067,67.615,67.615,,take_profit,1.2917,resistance,0,3
