trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size,level_order,position_size
1,long,2025-02-04 14:42:00,2025-02-04 15:22:00,72.23,73.1467,73.1467,,take_profit,57.2937,support,0,3,62.5
2,long,2025-02-04 14:49:00,2025-02-04 15:22:00,72.72,73.1467,73.1467,,take_profit,26.6687,support,0,2,62.5
5,long,2025-02-06 14:53:00,2025-02-11 06:30:00,71.01,72.72,72.72,,take_profit,107.7723,support,0,3,63.024764999999995
3,long,2025-02-04 15:21:00,2025-02-11 09:17:00,73.1467,73.1467,73.1467,,take_profit,0.0,support,0,1,31.25
4,long,2025-02-05 09:06:00,2025-02-11 09:17:00,72.23,73.1467,73.1467,,take_profit,57.7748,support,0,3,63.024764999999995
6,short,2025-02-11 10:00:00,2025-02-12 10:01:00,73.24,72.44,72.44,,take_profit,25.6238,resistance,0,1,32.0297171875
10,long,2025-02-13 09:09:00,2025-02-13 14:58:00,71.105,71.105,71.105,,take_profit,0.0,support,0,2,64.219583125
8,long,2025-02-12 14:03:00,2025-02-19 07:04:00,72.21,72.21,72.21,,take_profit,0.0,support,0,2,64.219583125
9,long,2025-02-13 07:23:00,2025-02-19 07:04:00,70.79,72.21,72.21,,take_profit,91.1918,support,0,3,64.219583125
11,long,2025-02-18 13:18:00,2025-02-19 07:04:00,71.0633,72.21,72.21,,take_profit,73.6406,support,0,2,64.219583125
7,long,2025-02-12 08:08:00,2025-02-19 14:16:00,72.72,72.72,72.72,,take_profit,0.0,support,0,1,32.0297171875
12,long,2025-02-19 07:00:00,2025-02-20 17:22:00,72.21,73.01,73.01,,take_profit,25.6878,support,0,1,32.1097915625
14,long,2025-02-25 08:59:00,2025-03-31 14:31:00,70.79,70.79,70.79,,take_profit,0.0,support,0,2,65.410334375
13,long,2025-02-25 07:00:00,2025-03-31 15:07:00,71.105,71.105,71.105,,take_profit,0.0,support,0,1,32.7051671875
15,long,2025-02-25 12:57:00,2025-03-31 15:07:00,70.16,71.105,71.105,,take_profit,61.8128,support,0,3,65.410334375
16,long,2025-02-27 15:22:00,2025-03-31 15:07:00,70.16,71.105,71.105,,take_profit,61.8128,support,0,3,65.410334375
