trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size,level_order
1,long,2024-12-03 08:02:00,2024-12-03 13:06:00,68.5675,69.3675,69.3675,,take_profit,0.8,support,0,1
4,short,2024-12-04 10:03:00,2024-12-04 12:17:00,70.4375,69.8733,69.8733,,take_profit,0.5642,resistance,0,2
2,short,2024-12-03 16:26:00,2024-12-04 17:58:00,69.8733,69.0733,69.0733,,take_profit,0.8,resistance,0,1
3,short,2024-12-04 08:55:00,2024-12-04 17:58:00,69.8733,69.0733,69.0733,,take_profit,0.8,resistance,0,1
7,long,2024-12-05 11:55:00,2024-12-05 12:18:00,68.1233,68.5675,68.5675,,take_profit,0.4442,support,0,2
8,long,2024-12-10 07:06:00,2024-12-10 14:04:00,68.1109,68.544,68.544,,take_profit,0.4331,support,0,2
9,long,2024-12-10 14:04:00,2024-12-11 09:37:00,68.544,69.344,69.344,,take_profit,0.8,support,0,1
5,long,2024-12-04 19:28:00,2024-12-11 09:40:00,68.5675,69.3675,69.3675,,take_profit,0.8,support,0,1
6,long,2024-12-05 07:05:00,2024-12-11 09:40:00,68.5675,69.3675,69.3675,,take_profit,0.8,support,0,1
11,short,2024-12-11 16:43:00,2024-12-12 14:11:00,69.925,69.925,69.925,,take_profit,-0.0,resistance,0,2
10,short,2024-12-11 09:30:00,2024-12-12 15:06:00,69.2883,69.2883,69.2883,,take_profit,-0.0,resistance,0,1
12,short,2024-12-11 19:21:00,2024-12-12 15:06:00,70.424,69.2883,69.2883,,take_profit,1.1357,resistance,0,3
13,short,2024-12-12 07:12:00,2024-12-12 15:06:00,70.418,69.285,69.285,,take_profit,1.133,resistance,0,3
14,short,2024-12-12 14:10:00,2024-12-12 15:06:00,69.925,69.285,69.285,,take_profit,0.64,resistance,0,2
16,short,2024-12-17 07:05:00,2024-12-17 08:29:00,70.41,69.925,69.925,,take_profit,0.485,resistance,0,2
17,short,2024-12-17 08:28:00,2024-12-17 15:23:00,69.925,69.125,69.125,,take_profit,0.8,resistance,0,1
19,short,2024-12-18 12:52:00,2024-12-18 19:47:00,70.4286,69.922,69.922,,take_profit,0.5066,resistance,0,2
21,short,2024-12-19 13:54:00,2024-12-19 15:17:00,70.4286,69.922,69.922,,take_profit,0.5066,resistance,0,2
18,short,2024-12-18 07:22:00,2024-12-20 00:19:00,69.922,69.122,69.122,,take_profit,0.8,resistance,0,1
20,short,2024-12-19 09:08:00,2024-12-20 00:19:00,69.922,69.122,69.122,,take_profit,0.8,resistance,0,1
15,short,2024-12-12 15:06:00,2024-12-20 11:58:00,69.285,68.485,68.485,,take_profit,0.8,resistance,0,1
23,short,2024-12-24 15:26:00,2024-12-26 17:15:00,70.3667,69.8825,69.8825,,take_profit,0.4842,resistance,0,2
24,short,2024-12-26 08:22:00,2024-12-26 17:15:00,70.3667,69.8825,69.8825,,take_profit,0.4842,resistance,0,2
22,short,2024-12-24 10:57:00,2025-01-31 21:59:00,69.8825,73.86,69.0825,,end_of_data,-3.9775,resistance,0,1
25,short,2024-12-26 16:47:00,2025-01-31 21:59:00,69.8825,73.86,69.0825,,end_of_data,-3.9775,resistance,0,1
