trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size,level_order
4,long,2024-09-12 14:56:00,2024-09-17 16:14:00,69.005,71.52,71.52,,take_profit,2.515,support,0,2
6,long,2024-09-18 09:59:00,2024-09-18 11:38:00,68.6633,69.215,69.215,,take_profit,0.5517,support,0,2
5,long,2024-09-18 08:38:00,2024-09-18 14:34:00,69.215,70.015,70.015,,take_profit,0.8,support,0,1
7,short,2024-09-24 07:13:00,2024-09-24 14:37:00,71.325,71.325,71.325,,take_profit,-0.0,resistance,0,2
8,short,2024-09-24 08:40:00,2024-09-25 11:51:00,71.75,70.6267,70.6267,,take_profit,1.1233,resistance,0,3
9,short,2024-09-25 07:00:00,2024-09-25 11:51:00,71.325,70.6267,70.6267,,take_profit,0.6983,resistance,0,2
10,short,2024-09-25 11:29:00,2024-09-25 16:19:00,70.6267,69.8267,69.8267,,take_profit,0.8,resistance,0,1
11,long,2024-09-26 09:43:00,2024-09-30 05:53:00,68.6425,69.1267,69.1267,,take_profit,0.4842,support,0,2
1,long,2024-09-03 09:21:00,2024-10-03 14:13:00,72.922,72.922,72.922,,take_profit,0.0,support,0,2
3,long,2024-09-05 16:12:00,2024-10-03 14:13:00,69.005,72.922,72.922,,take_profit,3.917,support,0,3
2,long,2024-09-03 13:08:00,2024-10-04 16:51:00,71.52,75.26,75.26,,take_profit,3.74,support,0,3
